,Briere,Schoolfield,Line,Quadratic,Cubic
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,-27.16606221577156,-31.67728880337353,-33.4290244749746,-31.18896371721631,-30.73136460923876
3,-31.459279913643485,-35.87139344889462,-34.53357849388851,-34.33537329722992,-24.04547600852302
4,-56.85415576327705,-55.50983369831194,-55.12574616064791,-56.65911712315949,-57.16728762087054
5,-44.28091953934365,-49.395718615495966,-47.64422886178078,-49.50917834560478,-49.307301470194446
6,-31.2594633285331,138.6452253010682,-26.222552738916548,-25.425078296945472,-0.2776023853064258
7,59.87206241651647,-18.547428152489548,-24.699846471607366,-26.637470690431698,3.7272176637768593
8,84.84264140022653,20.33845715008956,20.67943386658426,19.809803812153266,21.017864047055085
9,45.00761627028011,34.08777987147054,35.923554311140144,33.927621515843406,37.01538474805011
10,-29.5215763461457,-29.778539617855955,-34.67528056572766,-27.800142386975743,-25.87216028893998
11,-43.129172229860906,-45.44243537789764,-44.60628065964775,-46.07173340062706,-47.05482953778343
12,135.51848510602434,44.27230159973533,36.2401720996106,58.116737381913396,89.51772646391463
13,14.779634864974375,22.25460910322719,15.795410353424312,14.536115026851435,22.01987583502547
14,28.497903026734875,24.13940965279298,16.798811352511244,21.39456714081441,70.37019903056357
15,74.15297935631166,16.397647339154815,16.906422884737548,15.772005239582173,16.289393297094687
16,-3.8226808520282063,-5.201128251071008,-4.744057388797568,3.159719586396926,7.842220779055124
17,-22.888602789347196,-25.686286135635275,-26.64499562542599,-27.7697160977103,-25.85043758893188
18,-5.09679747157918,-14.919590009058226,-12.387724722106977,-11.928350388755721,2.3517694905126376
19,-29.74513982898045,-15.73393628045006,-33.3287761036586,-33.15778473348428,-15.488258234292754
20,-19.063633758494987,159.10720685509352,-24.191896336987483,-15.518481910445622,0.11355542532622209
21,inf,-25.12981394794186,-35.27945923521291,-30.885195789865605,-24.247854871394043
22,14.862266379824527,8.546332704194544,4.602090465001805,3.4559395841255793,17.951740047366993
23,6.372552531922264,6.967414974856016,-14.413546207183021,-3.5246436635400116,27.507091067983126
24,42.381541022097565,55.66031340939716,43.314228020447445,41.56300530560976,76.5640401083823
25,,-66.71655980352688,-65.53481832909743,-66.71002732936009,-68.7076798881416
26,-71.9903560914654,-50.64258034967317,-74.16808253924152,-72.7608193602634,-74.62527989158605
